"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2023","1,642.00","1,642.00","1,642.00","1,642.00","","1.92%"
"03/20/2023","1,611.00","1,611.00","1,611.00","1,611.00","","2.03%"
"03/17/2023","1,579.00","1,579.00","1,579.00","1,579.00","","2.47%"
"03/16/2023","1,541.00","1,541.00","1,541.00","1,541.00","","1.65%"
"03/15/2023","1,516.00","1,516.00","1,516.00","1,516.00","","2.43%"
"03/14/2023","1,480.00","1,480.00","1,480.00","1,480.00","","0.14%"
"03/13/2023","1,478.00","1,478.00","1,478.00","1,478.00","","-0.61%"
"03/10/2023","1,487.00","1,487.00","1,487.00","1,487.00","","-1.59%"
"03/09/2023","1,511.00","1,511.00","1,511.00","1,511.00","","1.07%"
"03/08/2023","1,495.00","1,495.00","1,495.00","1,495.00","","0.54%"
"03/07/2023","1,487.00","1,487.00","1,487.00","1,487.00","","0.13%"
"03/06/2023","1,485.00","1,485.00","1,485.00","1,485.00","","0.13%"
"03/03/2023","1,483.00","1,483.00","1,483.00","1,483.00","","0.75%"
"03/02/2023","1,472.00","1,472.00","1,472.00","1,472.00","","1.17%"
"03/01/2023","1,455.00","1,455.00","1,455.00","1,455.00","","2.90%"
"02/28/2023","1,414.00","1,414.00","1,414.00","1,414.00","","3.74%"
"02/27/2023","1,363.00","1,363.00","1,363.00","1,363.00","","1.87%"
"02/24/2023","1,338.00","1,338.00","1,338.00","1,338.00","","1.06%"
"02/23/2023","1,324.00","1,324.00","1,324.00","1,324.00","","1.53%"
"02/22/2023","1,304.00","1,304.00","1,304.00","1,304.00","","-0.15%"
"02/21/2023","1,306.00","1,306.00","1,306.00","1,306.00","","2.19%"
"02/20/2023","1,278.00","1,278.00","1,278.00","1,278.00","","1.35%"
"02/17/2023","1,261.00","1,261.00","1,261.00","1,261.00","","1.37%"
"02/16/2023","1,244.00","1,244.00","1,244.00","1,244.00","","2.64%"
"02/15/2023","1,212.00","1,212.00","1,212.00","1,212.00","","0.75%"
"02/14/2023","1,203.00","1,203.00","1,203.00","1,203.00","","-0.08%"
"02/13/2023","1,204.00","1,204.00","1,204.00","1,204.00","","-0.17%"
"02/10/2023","1,206.00","1,206.00","1,206.00","1,206.00","","0.08%"
"02/09/2023","1,205.00","1,205.00","1,205.00","1,205.00","","-0.66%"
"02/08/2023","1,213.00","1,213.00","1,213.00","1,213.00","","-0.41%"
"02/07/2023","1,218.00","1,218.00","1,218.00","1,218.00","","-0.49%"
"02/06/2023","1,224.00","1,224.00","1,224.00","1,224.00","","-1.21%"
"02/03/2023","1,239.00","1,239.00","1,239.00","1,239.00","","-1.35%"
"02/02/2023","1,256.00","1,256.00","1,256.00","1,256.00","","-0.32%"
"02/01/2023","1,260.00","1,260.00","1,260.00","1,260.00","","-1.18%"
"01/31/2023","1,275.00","1,275.00","1,275.00","1,275.00","","-2.07%"
"01/30/2023","1,302.00","1,302.00","1,302.00","1,302.00","","-1.59%"
"01/27/2023","1,323.00","1,323.00","1,323.00","1,323.00","","-0.97%"
"01/26/2023","1,336.00","1,336.00","1,336.00","1,336.00","","-1.26%"
"01/25/2023","1,353.00","1,353.00","1,353.00","1,353.00","","-2.24%"
"01/24/2023","1,384.00","1,384.00","1,384.00","1,384.00","","-1.91%"
"01/23/2023","1,411.00","1,411.00","1,411.00","1,411.00","","-0.28%"
"01/20/2023","1,415.00","1,415.00","1,415.00","1,415.00","","0.21%"
"01/19/2023","1,412.00","1,412.00","1,412.00","1,412.00","","-0.63%"
"01/18/2023","1,421.00","1,421.00","1,421.00","1,421.00","","-0.42%"
"01/17/2023","1,427.00","1,427.00","1,427.00","1,427.00","","-1.25%"
"01/16/2023","1,445.00","1,445.00","1,445.00","1,445.00","","0.00%"
"01/13/2023","1,445.00","1,445.00","1,445.00","1,445.00","","0.28%"
"01/12/2023","1,441.00","1,441.00","1,441.00","1,441.00","","0.98%"
"01/11/2023","1,427.00","1,427.00","1,427.00","1,427.00","","0.28%"
"01/10/2023","1,423.00","1,423.00","1,423.00","1,423.00","","2.23%"
"01/09/2023","1,392.00","1,392.00","1,392.00","1,392.00","","0.07%"
"01/06/2023","1,391.00","1,391.00","1,391.00","1,391.00","","-0.36%"
"01/05/2023","1,396.00","1,396.00","1,396.00","1,396.00","","-2.38%"
"01/04/2023","1,430.00","1,430.00","1,430.00","1,430.00","","-2.39%"
"01/03/2023","1,465.00","1,465.00","1,465.00","1,465.00","","-21.78%"
"12/23/2022","1,873.00","1,873.00","1,873.00","1,873.00","","-0.74%"
"12/22/2022","1,887.00","1,887.00","1,887.00","1,887.00","","-1.77%"
"12/21/2022","1,921.00","1,921.00","1,921.00","1,921.00","","-1.54%"
"12/20/2022","1,951.00","1,951.00","1,951.00","1,951.00","","-4.50%"
"12/19/2022","2,043.00","2,043.00","2,043.00","2,043.00","","-1.68%"
"12/16/2022","2,078.00","2,078.00","2,078.00","2,078.00","","-0.67%"
"12/15/2022","2,092.00","2,092.00","2,092.00","2,092.00","","0.63%"
"12/14/2022","2,079.00","2,079.00","2,079.00","2,079.00","","-0.34%"
"12/13/2022","2,086.00","2,086.00","2,086.00","2,086.00","","-0.95%"
"12/12/2022","2,106.00","2,106.00","2,106.00","2,106.00","","-0.19%"
"12/09/2022","2,110.00","2,110.00","2,110.00","2,110.00","","1.01%"
"12/08/2022","2,089.00","0.00","0.00","0.00","","-0.29%"
"12/07/2022","2,095.00","2,095.00","2,095.00","2,095.00","","-0.80%"
"12/06/2022","2,112.00","2,112.00","2,112.00","2,112.00","","-3.83%"
"12/05/2022","2,196.00","2,196.00","2,196.00","2,196.00","","-1.08%"
"12/02/2022","2,220.00","2,220.00","2,220.00","2,220.00","","-1.77%"
"12/01/2022","2,260.00","2,260.00","2,260.00","2,260.00","","-3.95%"
"11/30/2022","2,353.00","2,353.00","2,353.00","2,353.00","","-3.29%"
"11/29/2022","2,433.00","2,433.00","2,433.00","2,433.00","","-1.42%"
"11/28/2022","2,468.00","2,468.00","2,468.00","2,468.00","","-1.04%"
"11/25/2022","2,494.00","2,494.00","2,494.00","2,494.00","","0.28%"
"11/24/2022","2,487.00","2,487.00","2,487.00","2,487.00","","-0.32%"
"11/23/2022","2,495.00","2,495.00","2,495.00","2,495.00","","-0.04%"
"11/22/2022","2,496.00","2,496.00","2,496.00","2,496.00","","1.50%"
"11/21/2022","2,459.00","2,459.00","2,459.00","2,459.00","","3.97%"
"11/18/2022","2,365.00","2,365.00","2,365.00","2,365.00","","7.65%"
"11/17/2022","2,197.00","2,197.00","2,197.00","2,197.00","","8.07%"
"11/16/2022","2,033.00","2,033.00","2,033.00","2,033.00","","3.67%"
"11/15/2022","1,961.00","1,961.00","1,961.00","1,961.00","","2.89%"
"11/14/2022","1,906.00","1,906.00","1,906.00","1,906.00","","0.63%"
"11/11/2022","1,894.00","1,894.00","1,894.00","1,894.00","","0.48%"
"11/10/2022","1,885.00","1,885.00","1,885.00","1,885.00","","0.59%"
"11/09/2022","1,874.00","1,874.00","1,874.00","1,874.00","","0.92%"
"11/08/2022","1,857.00","1,857.00","1,857.00","1,857.00","","0.81%"
"11/07/2022","1,842.00","1,842.00","1,842.00","1,842.00","","0.33%"
"11/04/2022","1,836.00","1,836.00","1,836.00","1,836.00","","0.44%"
"11/03/2022","1,828.00","1,828.00","1,828.00","1,828.00","","0.49%"
"11/02/2022","1,819.00","1,819.00","1,819.00","1,819.00","","0.44%"
"11/01/2022","1,811.00","1,811.00","1,811.00","1,811.00","","-0.88%"
"10/31/2022","1,827.00","1,827.00","1,827.00","1,827.00","","0.22%"
"10/28/2022","1,823.00","1,823.00","1,823.00","1,823.00","","0.39%"
"10/27/2022","1,816.00","1,816.00","1,816.00","1,816.00","","0.67%"
"10/26/2022","1,804.00","1,804.00","1,804.00","1,804.00","","0.61%"
"10/25/2022","1,793.00","1,793.00","1,793.00","1,793.00","","0.11%"
"10/24/2022","1,791.00","1,791.00","1,791.00","1,791.00","","3.11%"
"10/21/2022","1,737.00","1,737.00","1,737.00","1,737.00","","0.70%"
"10/20/2022","1,725.00","1,725.00","1,725.00","1,725.00","","0.88%"
"10/19/2022","1,710.00","1,710.00","1,710.00","1,710.00","","1.00%"
"10/18/2022","1,693.00","1,693.00","1,693.00","1,693.00","","4.44%"
"10/17/2022","1,621.00","1,621.00","1,621.00","1,621.00","","4.31%"
"10/14/2022","1,554.00","1,554.00","1,554.00","1,554.00","","2.64%"
"10/13/2022","1,514.00","1,514.00","1,514.00","1,514.00","","2.23%"
"10/12/2022","1,481.00","1,481.00","1,481.00","1,481.00","","1.09%"
"10/11/2022","1,465.00","1,465.00","1,465.00","1,465.00","","0.41%"
"10/10/2022","1,459.00","1,459.00","1,459.00","1,459.00","","-0.14%"
"10/07/2022","1,461.00","1,461.00","1,461.00","1,461.00","","0.00%"
"10/06/2022","1,461.00","1,461.00","1,461.00","1,461.00","","0.27%"
"10/05/2022","1,457.00","1,457.00","1,457.00","1,457.00","","-0.34%"
"10/04/2022","1,462.00","1,462.00","1,462.00","1,462.00","","-0.95%"
"10/03/2022","1,476.00","1,476.00","1,476.00","1,476.00","","-0.07%"
"09/30/2022","1,477.00","1,477.00","1,477.00","1,477.00","","-0.47%"
"09/29/2022","1,484.00","1,484.00","1,484.00","1,484.00","","-0.87%"
"09/28/2022","1,497.00","1,497.00","1,497.00","1,497.00","","-0.60%"
"09/27/2022","1,506.00","1,506.00","1,506.00","1,506.00","","-0.07%"
"09/26/2022","1,507.00","1,507.00","1,507.00","1,507.00","","0.60%"
"09/23/2022","1,498.00","1,498.00","1,498.00","1,498.00","","0.07%"
"09/22/2022","1,497.00","1,497.00","1,497.00","1,497.00","","-0.27%"
"09/21/2022","1,501.00","1,501.00","1,501.00","1,501.00","","-0.46%"
"09/20/2022","1,508.00","1,508.00","1,508.00","1,508.00","","1.07%"
"09/16/2022","1,492.00","1,492.00","1,492.00","1,492.00","","1.91%"
