Open,Close,High,Low,Volume,Date
888.81,882.54,899.03,877.48,51,879,240.00,03/23/23
907.45,890.74,912.14,890.58,52,051,926.00,03/22/23
931.06,909.1,932.12,896.82,61,343,319.00,03/21/23
925.29,931.46,934.21,925.29,58,410,244.00,03/20/23
931.84,923.21,931.84,917.34,123,879,210.00,03/17/23
922.76,932.09,937.77,919.62,61,363,886.00,03/16/23
910.66,925.21,931.09,904.95,67,398,116.00,03/15/23
908.31,912.54,919.56,903.91,56,745,158.00,03/14/23
901.08,901.08,901.08,901.08,,03/13/23
903.19,887.55,906.25,883.45,52,913,564.00,03/10/23
912.58,902.02,920.47,899.2,43,770,808.00,03/09/23
903.68,911.67,913.87,900.81,40,481,589.00,03/08/23
921.86,903.97,923.51,900.2,48,872,351.00,03/07/23
916.61,920.07,924.32,915.8,46,626,045.00,03/06/23
905.4,916.23,916.42,897,55,704,849.00,03/03/23
888.86,902.76,903.79,885.17,64,701,156.00,03/02/23
900.47,890.69,901.83,886.59,68,329,457.00,03/01/23
919.77,906.99,923.16,906.72,83,892,568.00,02/28/23
931.37,922.51,942.09,920.11,54,389,158.00,02/27/23
922.27,928.44,931.56,916.91,52,876,145.00,02/24/23
936.56,929.56,938.93,924.92,54,099,335.00,02/23/23
938.76,934.63,945.48,932.22,44,978,486.00,02/22/23
950.55,938.87,950.55,937.57,48,819,606.00,02/21/23
943.34,953.61,957.82,938.28,61,126,418.00,02/17/23
941.83,943.21,946.11,928.98,48,908,335.00,02/16/23
941.69,950.07,950.46,939.21,47,180,718.00,02/15/23
949.74,945,956,940.44,43,381,353.00,02/14/23
946.09,951.8,953.65,946.09,39,627,677.00,02/13/23
929.65,945.77,946.32,927.3,46,037,544.00,02/10/23
942.39,927.91,949.13,926.77,56,399,403.00,02/09/23
956.26,941.58,956.26,937.93,50,843,480.00,02/08/23
957.38,958.18,960.9,945.6,47,666,064.00,02/07/23
950.85,961.09,961.63,947.76,46,584,347.00,02/06/23
971.83,953.58,972.04,941.63,60,984,736.00,02/03/23
974.56,976.42,987.02,968.36,71,034,402.00,02/02/23
967.94,973.88,980.85,961.24,60,538,982.00,02/01/23
966.57,971.02,971.31,955.94,71,866,614.00,01/31/23
967,964.11,974.28,963.27,44,398,237.00,01/30/23
965.27,967.82,971.67,961.63,43,983,883.00,01/27/23
958.35,966.74,967.36,956.93,48,850,351.00,01/26/23
963.51,961.81,963.51,951.52,67,717,674.00,01/25/23
964.39,966.58,969.21,949.17,41,138,326.00,01/24/23
958.85,960.51,970.17,952.85,43,135,649.00,01/23/23
952.63,960.6,960.93,940.64,50,482,126.00,01/20/23
960.59,953.22,961.74,950.94,45,638,225.00,01/19/23
989.03,961.52,989.57,960.08,48,981,486.00,01/18/23
989.06,986.74,995.97,985.46,50,160,444.00,01/17/23
989.89,988.6,991.99,982.86,43,140,806.00,01/13/23
1003.3,993.88,1003.3,992.76,47,871,093.00,01/12/23
992.38,1002.11,1003.67,991.98,46,987,914.00,01/11/23
987.33,991.48,992.46,979.8,43,240,325.00,01/10/23
979.54,988.42,995.83,978.24,47,999,647.00,01/09/23
966.89,981.27,985.42,966.89,45,606,719.00,01/06/23
973.11,960.25,975.71,957.16,51,401,074.00,01/05/23
974.09,980.42,988.34,974.09,48,031,609.00,01/04/23
969.14,970.68,974.81,956.69,44,088,630.00,01/03/23
977.75,967.4,977.92,958.51,32,655,754.00,12/30/22
976.5,977.83,983.21,975.55,25,114,454.00,12/29/22
984.09,973.4,987.99,971.7,28,462,133.00,12/28/22
976.22,982.37,984.36,971.57,30,732,543.00,12/27/22
964.09,975.58,976.02,963.25,25,053,305.00,12/23/22
968.4,966.24,968.4,949.07,36,215,901.00,12/22/22
961.9,970.48,970.9,960.02,39,059,788.00,12/21/22
960.38,958.49,963.21,953.1,42,153,556.00,12/20/22
962.27,959.7,969.77,953.88,44,308,576.00,12/19/22
980.11,963.24,980.11,952.76,131,865,574.00,12/16/22
992.06,981.87,992.65,978.14,53,685,302.00,12/15/22
998.92,994.79,1011.06,988.84,52,084,763.00,12/14/22
1003.09,997.14,1013.3,985.98,58,738,488.00,12/13/22
978.14,994.16,994.36,974.35,44,895,502.00,12/12/22
974.13,974.31,981.04,972.93,45,226,313.00,12/09/22
972.08,977.54,980.41,969.16,45,270,360.00,12/08/22
977.76,972.78,985.36,969.43,56,785,114.00,12/07/22
970.48,978.96,979.28,969.35,65,772,780.00,12/06/22
971.4,970.23,972.67,966.98,44,258,810.00,12/05/22
970.58,975.79,978.24,966.11,45,130,265.00,12/02/22
986.81,980.28,994.69,977.36,51,859,361.00,12/01/22
954.59,981.3,982.36,953.89,92,384,335.00,11/30/22
957.7,955.79,957.7,950.55,41,499,457.00,11/29/22
968.48,961.88,969.08,957.36,52,725,124.00,11/28/22
968.83,972.06,974.39,968.47,20,112,583.00,11/25/22
951.17,965.64,966.19,951.1,38,886,059.00,11/23/22
950.16,953,959.66,946.87,40,513,574.00,11/22/22
938.32,945.37,949.45,938.32,46,254,280.00,11/21/22
923.57,939.33,940.6,923.57,59,006,789.00,11/18/22
926.6,918.18,927.28,913.94,44,582,497.00,11/17/22
927.79,935.51,941.68,927.79,51,604,351.00,11/16/22
924.05,927.18,933.04,916.63,58,617,411.00,11/15/22
927.63,918.81,933.58,918.81,68,807,487.00,11/14/22
938.54,927.43,939.57,917.35,56,032,379.00,11/11/22
909.78,939.14,940.18,909.39,64,609,010.00,11/10/22
901.9,895.05,904.86,893.63,58,240,204.00,11/09/22
896.95,903.3,908.33,894.37,55,913,568.00,11/08/22
911.16,894.53,911.43,880.25,73,913,094.00,11/07/22
909.02,913.01,915.37,897.04,60,329,695.00,11/04/22
898.61,906.86,913.48,890.49,58,941,160.00,11/03/22
911.75,904.59,929.02,904.27,55,542,778.00,11/02/22
917.77,913.87,918.78,906.89,46,809,094.00,11/01/22
920.39,913.44,921.65,907.95,61,241,606.00,10/31/22
899.03,921.17,922.39,899.03,53,568,288.00,10/28/22
894.06,896.78,906.27,893.89,55,760,098.00,10/27/22
892.71,888.79,897.98,884.63,56,127,381.00,10/26/22
873.11,888.77,890.41,873.11,53,735,777.00,10/25/22
870.6,872.1,878.66,863.67,49,478,699.00,10/24/22
851.44,864.47,870.16,845.52,62,742,592.00,10/21/22
869.31,849.28,869.67,845.99,60,631,761.00,10/20/22
869.93,870.88,875.97,864.09,41,202,976.00,10/19/22
876.39,879.66,885.1,871.94,46,020,128.00,10/18/22
857.87,865.5,873.97,857.87,51,606,175.00,10/17/22
868.87,847.11,875.36,844.04,60,407,646.00,10/14/22
829.42,860.61,863.33,823.64,75,336,657.00,10/13/22
864.61,838.99,864.8,838.8,58,689,012.00,10/12/22
863.21,866.66,877.27,860.02,58,116,100.00,10/11/22
864.82,866.26,875.32,864.82,54,066,537.00,10/10/22
880.46,863.43,881.55,857.72,56,300,571.00,10/07/22
905.76,881.75,906.22,880.74,63,806,580.00,10/06/22
922.4,909.4,922.4,901.95,51,629,624.00,10/05/22
918.41,933.2,934.9,916.04,63,145,082.00,10/04/22
905.12,914.79,920.28,898.29,64,049,202.00,10/03/22
910.96,888.47,913.72,887.07,85,381,804.00,09/30/22
939.9,906,940.66,905.05,64,141,887.00,09/29/22
942.99,944.84,950.35,933.45,55,621,317.00,09/28/22
959.55,934.23,959.71,930.7,56,628,106.00,09/27/22
975.64,953.48,977.46,944.69,50,368,066.00,09/26/22
984.43,978.52,984.43,966.3,46,130,757.00,09/23/22
992.57,990.92,997.59,985.04,38,163,969.00,09/22/22
1013.59,995.14,1023.44,995.06,41,719,188.00,09/21/22
1018.62,1008.51,1018.62,1001.32,38,819,134.00,09/20/22
1010.88,1024.62,1024.95,1006.78,42,482,003.00,09/19/22
1015.51,1012.86,1020.19,1011.06,114,784,951.00,09/16/22
1034.88,1015.98,1034.88,1014.07,61,601,296.00,09/15/22
1032.8,1041.56,1048.19,1032.72,46,321,393.00,09/14/22
1054.08,1032.47,1054.44,1027.68,47,481,306.00,09/13/22
1051.36,1061.77,1063.15,1049.76,42,563,469.00,09/12/22
1049.33,1050.33,1056.7,1043.37,40,702,293.00,09/09/22
1043.4,1046.29,1051.98,1040.55,50,785,534.00,09/08/22
1016.83,1047.29,1048.45,1016.83,60,286,449.00,09/07/22
1016.13,1013.63,1028.62,1011.32,51,126,551.00,09/06/22
1026.15,1014.17,1037.46,1010.95,41,349,204.00,09/02/22
1008.26,1024.55,1025.2,1006.18,37,545,687.00,09/01/22
1018.41,1009.08,1024.05,1008.92,50,563,226.00,08/31/22
1031.31,1017.69,1032.52,1014.14,37,275,881.00,08/30/22
1023.26,1031.3,1038.63,1016.2,32,727,454.00,08/29/22
1045.3,1026.74,1046.3,1026.31,42,983,352.00,08/26/22
1038.52,1043.51,1043.64,1033.08,35,901,001.00,08/25/22
1034.53,1037.73,1038.52,1030.14,37,092,930.00,08/24/22
1040.88,1034.17,1040.88,1030.33,30,990,541.00,08/23/22
1052.99,1040.95,1052.99,1038.48,34,663,517.00,08/22/22
1056.54,1056.06,1060.94,1051.82,42,565,056.00,08/19/22
1054.75,1057.22,1061.13,1053.47,36,827,335.00,08/18/22
1051.57,1053.86,1057.28,1048.82,32,775,127.00,08/17/22
1048.11,1053.86,1056.78,1046.49,36,954,896.00,08/16/22
